CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
046433108,ATRO,ASTRONICS CORP,0,-4919,0,-328.25K,CLOSE,0%
478160104,JNJ,JOHNSON & JOHNSON,5355,-1312,1.36M,-333.19K,-19.7%,0.37%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,276500,-3104,32.26M,-362.14K,-1.1%,8.8%
406216101,HAL,HALLIBURTON CO,0,-9825,0,-383.08K,CLOSE,0%
78468R663,BIL,SPDR SERIES TRUST,11787,-4463,1.08M,-409K,-27.5%,0.3%
74347X831,TQQQ,PROSHARES TR,30300,-7180,2.45M,-581.58K,-19.2%,0.67%
464288760,ITA,ISHARES TR,0,-2674,0,-584.94K,CLOSE,0%
03027X100,AMT,AMERICAN TOWER CORP,0,-3559,0,-614.21K,CLOSE,0%
958102105,WDC,WESTERN DIGITAL CORP,391,-973,249.74K,-621.48K,-71.3%,0.07%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,2002,-2224,562.93K,-625.36K,-52.6%,0.15%
037833100,AAPL,APPLE INC,52168,-2621,15.1M,-758.42K,-4.8%,4.1%
74347X864,UPRO,PROSHARES TR,0,-8800,0,-853.42K,CLOSE,0%
000361105,AIR,AAR CORP,6240,-10775,891.88K,-1.54M,-63.3%,0.24%
302301106,EZPW,EZCORP INC,61517,-45916,2.13M,-1.59M,-42.7%,0.58%
78463V107,GLD,SPDR GOLD TR,15861,-4929,5.84M,-1.82M,-23.7%,1.6%
75526L886,FEGE,RBB FUND TRUST,64935,-42930,3.18M,-2.1M,-39.8%,0.87%
14020W106,CGDV,CAPITAL GROUP DIVIDEND VALUE,324401,-44004,15.99M,-2.17M,-11.9%,4.4%
595112103,MU,MICRON TECHNOLOGY INC,1557,-1889,1.8M,-2.18M,-54.8%,0.49%
191098102,COKE,COCA COLA CONS INC,11404,-20304,2.18M,-3.88M,-64%,0.6%
Total,,,,,365.82M,19.74M,+6.2%,100%
