CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69376K106,RPC,RIDGEPOST CAP INC,74998,-1015,590.24K,-7.99K,-1.3%,<.01%
38748G101,BAR,GRANITESHARES GOLD TR,278,-203,10.99K,-8.02K,-42.2%,<.01%
25264R207,DHIL,DIAMOND HILL INVT GROUP INC,0,-47,0,-8.09K,CLOSE,0%
14020Y102,CGCP,CAPITAL GRP FIXED INCM ETF T,0,-366,0,-8.18K,CLOSE,0%
37892E102,GIC,GLOBAL INDUSTRIAL COMPANY,38109,-246,1.28M,-8.23K,-0.6%,<.01%
014752109,ALX,ALEXANDERS INC,3196,-30,880.69K,-8.27K,-0.9%,<.01%
72201R585,PYLD,PIMCO ETF TR,0,-319,0,-8.36K,CLOSE,0%
46137V597,PRFZ,INVESCO EXCHANGE TRADED FD T,13761,-150,767.45K,-8.37K,-1.1%,<.01%
464288521,USRT,ISHARES TR,484,-126,32.16K,-8.37K,-20.7%,<.01%
04335A105,ARVN,ARVINAS INC,109966,-1008,913.82K,-8.38K,-0.9%,<.01%
78468R523,BILS,SPDR SERIES TRUST,0,-85,0,-8.45K,CLOSE,0%
33737J174,FDT,FIRST TR EXCH TRD ALPHDX FD,3264,-92,309.03K,-8.71K,-2.7%,<.01%
808524763,FNDA,SCHWAB STRATEGIC TR,3950,-229,150.34K,-8.72K,-5.5%,<.01%
746729300,PVAL,PUTNAM ETF TRUST,1119,-176,57.01K,-8.97K,-13.6%,<.01%
449172105,HY,HYSTER-YALE INC,11497,-258,403.08K,-9.05K,-2.2%,<.01%
603170101,MLYS,MINERALYS THERAPEUTICS INC,79199,-338,2.14M,-9.12K,-0.4%,<.01%
13765N107,CNNE,CANNAE HLDGS INC,102160,-637,1.47M,-9.17K,-0.6%,<.01%
57638P104,MBC,MASTERBRAND INC,3133352,-893,32.24M,-9.19K,-0%,<.01%
207410101,CNMD,CONMED CORP,72034,-283,2.36M,-9.26K,-0.4%,<.01%
65249B208,NWS,NEWS CORP NEW,236021,-331,6.62M,-9.29K,-0.1%,<.01%
40416E103,HCI,HCI GROUP INC,18585,-53,3.26M,-9.29K,-0.3%,<.01%
74255Y888,PREF,PRINCIPAL EXCHANGE TRADED FD,0,-500,0,-9.41K,CLOSE,0%
587376104,MBWM,MERCANTILE BK CORP,24134,-168,1.39M,-9.65K,-0.7%,<.01%
05965X109,BSAC,BANCO SANTANDER CHILE NEW,350464,-300,11.54M,-9.88K,-0.1%,<.01%
33734X192,SKYY,FIRST TR EXCHANGE-TRADED FD,1640,-74,220.68K,-9.96K,-4.3%,<.01%
46431W705,LQDH,ISHARES U S ETF TR,0,-111,0,-10.25K,CLOSE,0%
04351P101,ASND,ASCENDIS PHARMA A/S,0,-45,0,-10.29K,CLOSE,0%
126501105,CTS,CTS CORP,55896,-159,3.64M,-10.37K,-0.3%,<.01%
464288653,TLH,ISHARES TR,2372,-104,238.03K,-10.44K,-4.2%,<.01%
194014502,ENOV,ENOVIS CORPORATION,163112,-508,3.38M,-10.52K,-0.3%,<.01%
691497309,OXM,OXFORD INDS INC,21081,-304,735.09K,-10.6K,-1.4%,<.01%
38246G108,GDRX,GOODRX HLDGS INC,161348,-3689,464.68K,-10.62K,-2.2%,<.01%
92852X103,VTS,VITESSE ENERGY INC,30270,-679,477.36K,-10.71K,-2.2%,<.01%
704699107,PGC,PEAPACK-GLADSTONE FINL CORP,24847,-228,1.18M,-10.79K,-0.9%,<.01%
068463108,BBSI,BARRETT BUSINESS SVCS INC,46056,-312,1.64M,-11.08K,-0.7%,<.01%
46435U135,IHAK,ISHARES TR,3425,-183,207.93K,-11.11K,-5.1%,<.01%
52468L505,LVHI,LEGG MASON ETF INVT,0,-276,0,-11.19K,CLOSE,0%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,4787,-185,294.21K,-11.37K,-3.7%,<.01%
35473P603,FLCO,FRANKLIN TEMPLETON ETF TR,0,-533,0,-11.42K,CLOSE,0%
69354N106,PRAA,PRA GROUP INC,90140,-606,1.71M,-11.51K,-0.7%,<.01%
97717X701,HEDJ,WISDOMTREE TR,26264,-208,1.5M,-11.86K,-0.8%,<.01%
33768G107,FCFS,FIRSTCASH HOLDINGS INC,65878,-55,14.25M,-11.9K,-0.1%,<.01%
78468R408,SJNK,SPDR SERIES TRUST,0,-477,0,-11.91K,CLOSE,0%
316092808,FTEC,FIDELITY COVINGTON TRUST,224,-42,63.97K,-11.99K,-15.8%,<.01%
373865104,GABC,GERMAN AMERN BANCORP INC,65764,-254,3.12M,-12.05K,-0.4%,<.01%
72201R817,CORP,PIMCO ETF TR,259,-125,25.1K,-12.11K,-32.6%,<.01%
78468R788,SPYD,SPDR SERIES TRUST,52103,-256,2.49M,-12.21K,-0.5%,<.01%
501270102,KRUS,KURA SUSHI USA INC,7398,-213,425.83K,-12.26K,-2.8%,<.01%
33733E203,FBT,FIRST TR EXCHANGE-TRADED FD,89,-50,22.06K,-12.39K,-36%,<.01%
46435G409,IVLU,ISHARES TR,0,-314,0,-12.46K,CLOSE,0%
