CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68634K106,ORLA,ORLA MNG LTD NEW,4254860,1922826,41.6M,18.8M,+82.5%,0.03%
45765U103,NSIT,INSIGHT ENTERPRISES INC,472420,154037,57.54M,18.76M,+48.4%,0.04%
043436104,ABG,ASBURY AUTOMOTIVE GROUP INC,189623,93215,38.13M,18.74M,+96.7%,0.02%
M7518J104,ODD,ODDITY TECH LTD,1265261,1235984,19.14M,18.7M,+4221.7%,0.01%
74347M108,PUMP,PROPETRO HLDG CORP,6034264,1290711,86.53M,18.51M,+27.2%,0.05%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,4846031,3157264,28.11M,18.31M,+187%,0.02%
43283X105,HGV,HILTON GRAND VACATIONS INC,528993,349229,27.7M,18.29M,+194.3%,0.02%
844741108,LUV,SOUTHWEST AIRLS CO,749285,355511,38.53M,18.28M,+90.3%,0.02%
78464A862,XSD,SPDR SERIES TRUST,31152,28992,19.43M,18.08M,+1342.2%,0.01%
69331C108,PCG,PG&E CORP,1094900,1065961,18.42M,17.93M,+3683.5%,0.01%
32055Y201,FIBK,FIRST INTST BANCSYSTEM INC,463086,463086,17.86M,17.86M,NEW,0.01%
477143101,JBLU,JETBLUE AIRWAYS CORP,6377373,3114530,36.54M,17.85M,+95.5%,0.02%
G61188101,LBTYA,LIBERTY GLOBAL LTD,2854713,1562596,32.46M,17.77M,+120.9%,0.02%
410120109,HWC,HANCOCK WHITNEY CORPORATION,292598,236592,21.86M,17.68M,+422.4%,0.01%
92835K103,VPG,VISHAY PRECISION GROUP INC,117826,117826,17.66M,17.66M,NEW,0.01%
01625V104,ALHC,ALIGNMENT HEALTHCARE INC,854818,741526,20.35M,17.66M,+654.5%,0.01%
05577W200,DOO,BRP INC,390163,289007,23.81M,17.64M,+285.7%,0.01%
76118Y104,REZI,RESIDEO TECHNOLOGIES INC,2069771,565026,64.37M,17.57M,+37.5%,0.04%
464287614,IWF,ISHARES TR,141164,141164,17.53M,17.53M,NEW,0.01%
04272N102,AVBP,ARRIVENT BIOPHARMA INC,872011,503216,30.29M,17.48M,+136.4%,0.02%
922908736,VUG,VANGUARD INDEX FDS,201707,201707,17.38M,17.38M,NEW,0.01%
97785W106,WOLF,WOLFSPEED INC,359255,359255,17.33M,17.33M,NEW,0.01%
697435105,PANW,PALO ALTO NETWORKS INC,184064,50824,62.77M,17.33M,+38.1%,0.04%
00776X109,ALMU,AELUMA INC,797983,772983,17.62M,17.07M,+3091.9%,0.01%
49845K101,KVYO,KLAVIYO INC,1194162,1129635,18.03M,17.06M,+1750.6%,0.01%
P31076105,CPA,COPA HOLDINGS SA,118212,109153,18.39M,16.98M,+1204.9%,0.01%
114340102,AZTA,AZENTA INC,1341164,662009,34.23M,16.89M,+97.5%,0.02%
52603A208,LC,HAPPEN INC,1576086,806416,32.69M,16.73M,+104.8%,0.02%
