CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
035255108,ANIK,ANIKA THERAPEUTICS INC,481417,-20800,7.04M,-304.3K,-4.1%,<.01%
68554V108,OSUR,ORASURE TECHNOLOGIES INC,2014903,-68400,8.99M,-305.06K,-3.3%,0.01%
74291D104,PROK,PROKIDNEY CORP,1099400,-151394,2.24M,-308.84K,-12.1%,<.01%
715684106,TLK,TELEKOMUNIKASI IND,3563314,-23100,47.86M,-310.23K,-0.6%,0.07%
45773H409,INO,INOVIO PHARMACEUTICALS INC,361339,-282438,397.47K,-310.68K,-43.9%,<.01%
60649T107,MG,MISTRAS GROUP INC,102700,-17800,1.79M,-310.97K,-14.8%,<.01%
29280W109,NRGV,ENERGY VAULT HOLDINGS INC,0,-94495,0,-311.83K,CLOSE,0%
46620W201,JILL,J JILL INC,335800,-19800,5.33M,-314.23K,-5.6%,<.01%
886029206,THRY,THRYV HLDGS INC,0,-115113,0,-315.41K,CLOSE,0%
90291W108,USGO,US GOLDMINING INC,32300,-39300,262.6K,-319.51K,-54.9%,<.01%
45174J509,IHRT,IHEARTMEDIA INC,754229,-74500,3.24M,-319.6K,-9%,<.01%
43538H103,HLLY,HOLLEY INC,747400,-125700,1.91M,-320.54K,-14.4%,<.01%
03213A104,AMPL,AMPLITUDE INC,0,-47031,0,-320.75K,CLOSE,0%
28658R106,CLYM,CLIMB BIO INC,192700,-24600,2.51M,-320.78K,-11.3%,<.01%
026948109,AII,AMERICAN INTEGRITY INS GROUP,119705,-17095,2.25M,-321.9K,-12.5%,<.01%
78433H642,BTCI,NEOS ETF TRUST,0,-9900,0,-324.52K,CLOSE,0%
26923N173,MSTU,ETF OPPORTUNITIES TRUST,177000,-200600,286.74K,-324.97K,-53.1%,<.01%
75524W108,RMAX,RE/MAX HLDGS INC,680565,-33000,6.71M,-325.38K,-4.6%,<.01%
26923N389,ROBN,ETF OPPORTUNITIES TRUST,0,-19100,0,-327.76K,CLOSE,0%
107924102,BBOT,BRIDGEBIO ONCOLOGY THERAPEUT,58600,-43300,446.53K,-329.95K,-42.5%,<.01%
882927122,UNHG,THEMES ETF TR,0,-32417,0,-330.33K,CLOSE,0%
98423J101,XPER,XPERI INC,509983,-40200,4.2M,-330.85K,-7.3%,<.01%
004816104,ACU,ACME UTD CORP,109607,-6951,5.23M,-331.7K,-6%,<.01%
678026105,OIS,OIL STS INTL INC,0,-28500,0,-331.74K,CLOSE,0%
637372202,NRC,NRC HEALTH,325384,-15400,7.02M,-332.18K,-4.5%,<.01%
67577R102,IRD,OPUS GENETICS INC,0,-73209,0,-333.1K,CLOSE,0%
65443P102,MASS,908 DEVICES INC,191900,-38300,1.67M,-333.21K,-16.6%,<.01%
705015105,PSO,PEARSON PLC,0,-25400,0,-333.5K,CLOSE,0%
83356Q108,SY,SO YOUNG INTERNATIONAL INC,0,-122200,0,-333.61K,CLOSE,0%
037326105,ANTX,AN2 THERAPEUTICS INC,129700,-69100,627.75K,-334.44K,-34.8%,<.01%
629579103,NC,NACCO INDS INC,147818,-6700,7.4M,-335.34K,-4.3%,0.01%
126601103,CVV,CVD EQUIP CORP,135748,-45134,1.01M,-335.35K,-25%,<.01%
89785X101,TBI,TRUEBLUE INC,172500,-48434,1.2M,-337.58K,-21.9%,<.01%
464287507,IJH,ISHARES TR,0,-5000,0,-337.65K,CLOSE,0%
29081P303,AKOB,EMBOTELLADORA ANDINA S A,424976,-11605,12.39M,-338.4K,-2.7%,0.02%
500946108,KRRO,KORRO BIO INC,110524,-25703,1.46M,-338.77K,-18.9%,<.01%
G85158106,STNE,STONECO LTD,0,-24163,0,-341.56K,CLOSE,0%
73642K106,PTLO,PORTILLOS INC,85342,-72355,404.52K,-342.96K,-45.9%,<.01%
353469109,FC,FRANKLIN COVEY CO,72303,-14000,1.77M,-343.42K,-16.2%,<.01%
